id,name,category,primary,secondary,confidence,status
,John List: Macro Hive Podcast,Gig Economy,experimentation,,high,success
,EconTalk,Strategy & Digital Platforms,strategy-digital,,high,success
,MLWave: Kaggle Competition Retrospectives,Machine Learning,machine-learning,,high,success
,Eugene Wei: Remains of the Day Podcast Appearances,Platform Economics,platform-economics,strategy-digital,high,success
,Susan Athey: Machine Learning Methods for Causal Inference (NBER),Causal Inference & ML,causal-inference,,high,success
,Susan Shaheen: Shared Mobility and the Transformation of Transportation,Transportation Economics & Technology,transportation,,high,success
,TWIML: Causal Models at Lyft with Sean Taylor,Causal Inference & ML,causal-inference,experimentation,high,success
,Matei Zaharia: Data Brew Podcast,MLOps,machine-learning,,high,success
,Li Jin: Building the Creator Economy (Future),Platform Economics,platform-economics,,high,success
,Apricitas Economics: Macro Data Analysis,Applied Economics,ai-labor,,medium,success
,Severin Borenstein: The Economics of Electricity Markets,Energy & Utilities Economics,energy-economics,,high,success
,Sendhil Mullainathan: Cornell Messenger Lectures,AI & Labor,ai-labor,,high,success
,Sendhil Mullainathan: Before AGI Podcast,AI & Labor,ai-labor,,high,success
,Glen Weyl: Quadratic Voting and Funding (World of DaaS),Platform Economics,platform-economics,,high,success
,Odd Lots (Bloomberg),Strategy & Digital Platforms,strategy-digital,,high,success
,Daron Acemoglu on AI (Capitalism and Freedom),Strategy & Digital Platforms,ai-labor,strategy-digital,high,success
,Totte Harinen: Three Fallacies of Applied Causal Inference (UChicago Guest Lecture),Causal Inference & ML,causal-inference,,high,success
,ML for Pricing & Auctions (ICML),Market Design & Auctions,market-design-auctions,,high,success
,New Books in Economics: Discovering Prices (Paul Milgrom),Market Design & Auctions,market-design-auctions,,high,success
,Impact Pricing,Pricing & Behavioral,pricing-behavioral,,high,success
,Designing Data-Intensive Applications,Monographs,monographs-lectures,,high,success
,Village Global Venture Stories: Marketplace Edition,Platform Economics,platform-economics,,high,success
,Susan Athey: Economics of Transformative AI,Strategy & Digital Platforms,strategy-digital,,high,success
,SemiAnalysis: AI Hardware Economics,Tech Strategy,tech-economics,operations-research,high,success
,Fiona Scott Morton: Tech Antitrust Testimony,Antitrust & Competition,tech-economics,,high,success
,Matheus Facure: Causal Inference in Banking (UChicago Guest Lecture),Causal Inference & ML,causal-inference,,high,success
,"John List: Scale, Uber & The Voltage Effect",Experimentation & Scaling,experimentation,platform-economics,high,success
,Athey & Luca: Economists in Tech Companies (JEP 2019),Tech Economics,tech-economics,,high,success
,"Karin Kimbrough: Small Firms, Workers, and AI (CSIS)",AI & Labor,ai-labor,,high,success
,The Pie (UChicago),Strategy & Digital Platforms,strategy-digital,platform-economics,high,success
,Alexey Stysin: Auction Mechanism Design,Market Design & Auctions,market-design-auctions,,high,success
,NeurIPS 2024: Causality for LLMs Tutorial,Causal Inference & ML,causal-inference,,high,success
,Acquired: Airbnb,Strategy & Digital Platforms,platform-economics,strategy-digital,high,success
,Stan Humphries: Data Science at Zillow (CXOTalk),Real Estate Economics,real-estate,,high,success
,Not So Standard Deviations,Experimentation & Scaling,experimentation,,high,success
,Exponent Podcast: Ben Thompson on Platforms,Platform Economics,platform-economics,tech-economics,high,success
,"Economics, Applied (Hoover)",Strategy & Digital Platforms,strategy-digital,platform-economics,high,success
,Pat Bajari: Building applied analytics at Amazon,Strategy & Digital Platforms,strategy-digital,,high,success
,Todd Sandler on Alliance Economics and Burden Sharing,Defense Economics,none,,medium,success
,Frank Harrell: Biostatistics Lectures,Bayesian Statistics,monographs-lectures,,high,success
,Susan Athey: The Mixtape Podcast,Causal Inference & ML,none,,medium,success
,Tim Wu: The Age of Extraction,Antitrust & Competition,tech-economics,,high,success
,Freakonomics: Sendhil Mullainathan Messing Around,Causal Inference & ML,causal-inference,,high,success
,Data Analysis Journal: Experimentation Series,Experimentation,experimentation,,high,success
,The Generalist S-1 Club,Tech Strategy,strategy-digital,,high,success
,John List: Tim Ferriss Show #566,Gig Economy,labor-gig-economy,,high,success
,Causal Inference (Wager),Monographs,causal-inference,,high,success
,Hal Varian: How the Google Ad Auction Works,Ad Tech & Advertising Economics,market-design-auctions,marketing-martech,high,success
,Experiment Nation,Experimentation & Scaling,experimentation,,high,success
,Bill Gurley: Runnin' Down a Dream (Stanford),Platform Economics,platform-economics,strategy-digital,high,success
,Susan Athey: applied researchers Wanted,Strategy & Digital Platforms,platform-economics,strategy-digital,high,success
,Skylar Olsen: How to Talk to Buyers and Sellers (RealTrending),Real Estate Economics,real-estate,,high,success
,Jean Tirole: Platform Regulation,Antitrust & Competition,tech-economics,strategy-digital,high,success
,NBER Summer 2015: ML for Economists (Athey/Imbens),Causal Inference & ML,causal-inference,,high,success
,Karin Kimbrough: Work Trends to Watch (Microsoft WorkLab),Labor Economics,ai-labor,,high,success
,KDD Causal ML Workshop Series (2023-2025),Causal Inference & ML,causal-inference,,high,success
,Super Data Science,Causal Inference & ML,causal-inference,experimenting,high,success
,TWIML: Are LLMs Good at Causal Reasoning?,Causal Inference & ML,causal-inference,,high,success
,PyMC Labs YouTube: MMM Tutorials,Marketing Science,marketing-martech,,high,success
,Wenjing Zheng: Applications of Causal Machine Learning (UChicago Guest Lecture),Causal Inference & ML,causal-inference,,high,success
,Susan Athey: Women in Data Science Podcast,Causal Inference & ML,causal-inference,experimentation,high,success
,John List: Market Design in Ride-Sharing,Market Design & Auctions,market-design-auctions,platform-economics,high,success
,Jonathan Hall: Reflections of an Economist Who Manages People (Stanford 2024),Strategy & Digital Platforms,strategy-digital,,high,success
,Pitching the AI Startup (Enoch Kang),Strategy & Digital Platforms,strategy-digital,,high,success
,Advanced Data Analysis (Shalizi),Monographs,monographs-lectures,,high,success
,Ronny Kohavi: Experimentation Wisdom,Experimentation & Scaling,experimentation,,high,success
,Aki Vehtari: Bayesian Data Analysis,Causal Inference & ML,causal-inference,,high,success
,John List: Voltage Effect and Life at Uber/Lyft/Walmart,Gig Economy,labor-gig-economy,pricing-behavioral,high,success
,Data Skeptic Podcast,Causal Inference & ML,causal-inference,machine-learning,high,success
,Kyle Kretschman: Economics at Spotify,Experimentation & Scaling,experimentation,,high,success
,Stanford ML + Causal Inference Course,Causal Inference & ML,causal-inference,,high,success
,Mixtape Sessions: Heterogeneous Effects (Frandsen),Causal Inference & ML,causal-inference,,high,success
,Wharton Moneyball,Sports Analytics,sports-analytics,,high,success
,Alvin Roth: Nobel Lecture 2012,Nobel Lectures,market-design-auctions,platform-economics,high,success
,Glen Weyl: The Mixtape Interview,Tech Economics,tech-economics,ai-labor,high,success
,Expected Value,Sports Analytics,sports-analytics,,high,success
,Pricing Heroes,Pricing & Behavioral,pricing-behavioral,,high,success
,Hal Varian: Googlenomics Long-read Q&A (AEI),Market Design & Auctions,market-design-auctions,,high,success
,NBER: Methods Lectures & Feldstein Lectures,Causal Inference & ML,causal-inference,,high,success
,Susan Athey: Machine Learning and Causal Inference,Ad Tech & Advertising Economics,causal-inference,experimentation,high,success
,Stigler Center,Antitrust & Competition,tech-economics,strategy-digital,high,success
,The Visible Hand,Causal Inference & ML,causal-inference,,high,success
,The Mixtape with Scott Cunningham,Causal Inference & ML,causal-inference,,high,success
,Jeff Jordan (a16z): Marketplace Best Practices,Platform Economics,platform-economics,,high,success
,Lenny's Podcast,Growth & Retention,marketing-martech,,high,success
,Eva Ascarza: Retention Futility - Why Targeting High-Risk Customers Might Be Ineffective,MarTech & Customer Analytics,marketing-martech,,high,success
,Glen Weyl: Plurality at Stanford Digital Economy Lab,Platform Economics,platform-economics,,high,success
,Probabilistic Modeling Case Studies,Monographs,monographs-lectures,,high,success
,How I Wrote This,Causal Inference & ML,marketing-martech,,high,success
,Catherine Tucker: Digital Advertising and Privacy,Ad Tech & Advertising Economics,marketing-martech,,high,success
,Glen Weyl: Radical Markets,Strategy & Digital Platforms,strategy-digital,market-design-auctions,high,success
,Severin Borenstein: The Trouble with Electricity Markets,Energy Economics,energy-economics,,high,success
,MIT CODE: Conference on Digital Experimentation,Experimentation & Scaling,experimentation,,high,success
,Planet Money (NPR),Strategy & Digital Platforms,strategy-digital,,high,success
,John List: Scaling Proven Ideas,Experimentation & Scaling,experimentation,,high,success
,AEA Webcasts,Causal Inference & ML,causal-inference,,high,success
,Pat Bajari: Amazon Data Science Day Keynote (Columbia),Tech Economics,tech-economics,,high,success
,HBS Managing the Future of Work,AI & Labor,ai-labor,labor-gig-economy,high,success
,Hal Varian: Chief Scientist at Google,Market Design & Auctions,market-design-auctions,,high,success
,a16z Podcast: The Marketplace Rules,Strategy & Digital Platforms,strategy-digital,platform-economics,high,success
,NVIDIA GTC: Kaggle Grandmaster Sessions,Machine Learning,machine-learning,,high,success
,Jonathan Levin: Internet Markets (Econometric Society),Platform Economics,platform-economics,,high,success
,a16z Marketplace Podcast: Business of Marketplaces,Strategy & Digital Platforms,platform-economics,strategy-digital,high,success
,Keith Chen: Your Brain on Uber,Pricing & Behavioral,pricing-behavioral,platform-economics,high,success
,Acquired: The Uber IPO,Strategy & Digital Platforms,strategy-digital,platform-economics,high,success
,Sean Taylor: When Do We Need Causal Inference?,Causal Inference & ML,causal-inference,,high,success
,"Peter Fader: The Customer Isn't Always Right, But Some Customers Are Better Than Others",MarTech & Customer Analytics,marketing-martech,,high,success
,Victor Chernozhukov: Double/Debiased ML,Causal Inference & ML,causal-inference,,high,success
,课代表立正 (Yuzheng Sun),Experimentation & Scaling,experimentation,,high,success
,Learning Bayesian Statistics Podcast,Bayesian Statistics,none,,high,success
,Raj Chetty: Using Big Data to Solve Economic Problems,Causal Inference & ML,causal-inference,,high,success
,NerdOut@Spotify: The Rise and Fall of ABBA,AB Testing,experimentation,,high,success
,Erik Brynjolfsson: Lex Fridman Podcast,AI & Labor,ai-labor,,high,success
,The Diff: Daily Tech/Finance Analysis,Tech Strategy,strategy-digital,,high,success
,Tony Xu: DoorDash Marketplace Building (Stanford),Platform Economics,platform-economics,labor-gig-economy,high,success
,Microeconomic Theory (Rubinstein),Monographs,market-design-auctions,,high,success
,Nikhil Devanur: Lagrangian Duality in Mechanism Design,Market Design & Auctions,market-design-auctions,,high,success
,Li Jin: The Passion Economy (a16z),Platform Economics,platform-economics,,high,success
,Simply Statistics Podcast,Applied Statistics,none,,medium,success
,Staff Engineer (Will Larson),Monographs,monographs-lectures,,high,success
,Jonathan.Interviews: Data Science Careers & Causal Inference,Causal Inference & ML,causal-inference,,high,success
,Steve Tadelis: Trust and Reputation in Game Theory (Game Changer),Platform Economics,platform-economics,,high,success
,Nathan Kallus: Learning from Historical A/B Tests (Stanford),Causal Inference & ML,causal-inference,experimentation,high,success
,Economics of AI,AI & Labor,ai-labor,,high,success
,Data Skeptic,AI Economics & Labor,ai-labor,,high,success
,TWIML AI,Causal Inference & ML,machine-learning,platform-economics,high,success
,Economic Forces: Price Theory Podcast,Applied Economics,pricing-behavioral,,high,success
,Glen Weyl: EconTalk on Antitrust and Radical Reform,Platform Economics,tech-economics,platform-economics,high,success
,Aswath Damodaran: Valuation Lectures,Tech Strategy,strategy-digital,,high,success
,Open Source Sports,Sports Analytics,sports-analytics,,high,success
,Alvin Roth: Google Tech Talk on Matching,Market Design & Auctions,market-design-auctions,platform-economics,high,success
,NPR Delivery Wars: Cost of Convenience,Gig Economy,labor-gig-economy,,high,success
,DoorDash Deep Dive (Acquired),Gig Economy,platform-economics,labor-gig-economy,high,success
,Instacart: The Economics Team,Platform Economics,platform-economics,,high,success
,Econometrics (Hansen),Monographs,monographs-lectures,,high,success
,DecisionFest (Nextmv),Operations Research,operations-research,,high,success
,The Brainy Business,Pricing & Behavioral,pricing-behavioral,,high,success
,Conversations with Tyler,Strategy & Digital Platforms,strategy-digital,,high,success
,Ronny Kohavi: The Ultimate Guide to A/B Testing (Lenny's Podcast),AB Testing,experimentation,,high,success
,Marketing BS Podcast,Marketing Science,marketing-martech,,high,success
,RL: Theory and Algorithms,Monographs,monographs-lectures,,high,success
,Causal Bandits Podcast (Alex Molak),Causal Inference & ML,causal-inference,,high,success
,The Netflix Recommender System: Business Value and Innovation,MarTech & Customer Analytics,marketing-martech,,high,success
,Bruce Hardie: Probability Models for Customer-Base Analysis,MarTech & Customer Analytics,marketing-martech,,high,success
,Skylar Olsen: Mid-Year Economic Outlook (Weekly Seattle),Real Estate Economics,real-estate,,high,success
,Hal Varian: Future of Work (Oxford),AI & Labor,ai-labor,,high,success
,Ross Anderson: Why Information Security is Hard,Cybersecurity Economics,tech-economics,,high,success
,Richmond Fed Interview with Anton Korinek,Strategy & Digital Platforms,strategy-digital,ai-labor,high,success
,Jed Kolko: What's Next for the US Labor Market,Labor Economics,ai-labor,,high,success
,MIT IDE YouTube Channel,AB Testing,experimentation,,high,success
,Erik Brynjolfsson: AI and the Economy,AI & Labor,ai-labor,,high,success
,Why Uber Is an Economist's Dream,Pricing & Behavioral,pricing-behavioral,platform-economics,high,success
,BG2Pod: Bill Gurley & Brad Gerstner,Platform Economics,platform-economics,strategy-digital,high,success
,Pawel Adrjan: Understanding Indeed Hiring Lab (Here to Help),Labor Economics,labor-gig-economy,,high,success
,NBER Economics of AI: 2018,AI & Labor,ai-labor,,high,success
,KDD 2018 Tutorial: Causal Inference and Counterfactual Reasoning,Causal Inference & ML,causal-inference,,high,success
,Online Causal Inference Seminar,Causal Inference & ML,causal-inference,,high,success
,Alvin Roth: Market Design Keynote (AEA),Platform Economics,market-design-auctions,platform-economics,high,success
,Best AI Papers Explained (Enoch Kang),Causal Inference & ML,causal-inference,machine-learning,high,success
,Rob Axtell: The Tipping Point for Agent-Based Modeling,Strategy & Digital Platforms,strategy-digital,,high,success
,Effectively Wild,Sports Analytics,sports-analytics,,high,success
,Aryma Labs,Causal Inference & ML,causal-inference,marketing-martech,high,success
,Alvin Roth: Who Gets What and Why (Google Talks),Platform Economics,platform-economics,market-design-auctions,high,success
,Apoorva Lal: Causal Econometrics in Tech (UChicago Guest Lecture),Causal Inference & ML,causal-inference,,high,success
,Peter Frazier: Signaling with Surge Pricing (Simons 2018),Pricing & Market Design,platform-economics,pricing-behavioral,high,success
,Guy Berger: The Great Stay Economy (Top of Mind),Labor Economics,ai-labor,,high,success
,Experimentation Masters,Experimentation & Scaling,experimentation,,high,success
,Bandit Algorithms,Monographs,experimentation,,high,success
,Econ AI Podcast,Causal Inference & ML,causal-inference,,high,success
,Rob Hyndman: Forecasting Talks,Forecasting,none,,medium,success
,Andrew Chamberlain: Red Hot Labor Market (NPR),Labor Economics,labor-gig-economy,,high,success
,Invest Like the Best: Marketplace Founders,Platform Economics,platform-economics,,high,success
,TWIML: Causal Conceptions of Fairness,Causal Inference & ML,causal-inference,,high,success
,Jean Tirole: Richmond Fed Interview,Strategy & Digital Platforms,platform-economics,strategy-digital,high,success
,Steve Tadelis: Causal Inference in Tech,Causal Inference & ML,causal-inference,,high,success
,Daniel Tunkelang: Search with ML Course,Recommendation Systems,machine-learning,,high,success
,John List: Guy Kawasaki Remarkable People,Tech Economics,tech-economics,,high,success
,Jing Pan: Ad Measurement & Causal ML at Snap (UChicago Guest Lecture),Causal Inference & ML,causal-inference,marketing-martech,high,success
,Svenja Gudell: Inside the Indeed Hiring Lab (RecruitingDaily),Labor Economics,ai-labor,,high,success
,Huigang Chen: Estimating Network Effects (UChicago Guest Lecture),Causal Inference & ML,causal-inference,,high,success
,Mario Wuthrich ETH Actuarial Lectures,Insurance & Actuarial,machine-learning,monographs-lectures,high,success
,Steve Tadelis: Does Advertising Actually Work? (Freakonomics),Platform Economics,platform-economics,marketing-martech,high,success
,Ziad Obermeyer: Dissecting Racial Bias in Healthcare Algorithms,Healthcare Economics & Health-Tech,healthcare-economics,,high,success
,Freakonomics Radio,Strategy & Digital Platforms,strategy-digital,,high,success
,Brady Neal: Causal Inference Course,Causal Inference & ML,causal-inference,,high,success
,John List: The Price of Doing Business (Freakonomics),Gig Economy,pricing-behavioral,experimentations,high,success
,Chiara Farronato: Beyond Chicken and Egg (HBS),Platform Economics,platform-economics,,high,success
,John List: Big Brains UChicago Podcast,Causal Inference & ML,causal-inference,,high,success
,Market Design (Roth),Monographs,market-design-auctions,monographs-lectures,high,success
,Hal Varian: Doing Economics at Google,Market Design & Auctions,market-design-auctions,,high,success
,Not Boring Deep Dives,Tech Strategy,strategy-digital,,high,success
,Chip Huyen: ML Systems Design Talks,MLOps,machine-learning,,high,success
,Svenja Gudell: Expanding Your Talent Pool (FutureWorks 2024),AI & Labor,ai-labor,,high,success
,Retail Pricing Insights,Pricing & Behavioral,pricing-behavioral,,high,success
,Bill Gurley: All-In Summit - Marketplaces,Platform Economics,platform-economics,,high,success
,Paul Krugman & Erik Brynjolfsson: How Should We Think About the Economics of AI?,Strategy & Digital Platforms,ai-labor,strategy-digital,high,success
,Data Engineering Podcast: Experimentation with Eppo,AB Testing,experimentation,,high,success
,Taylor Marr: Have Airbnb Bans Backfired? (BiggerPockets),Real Estate Economics,real-estate,,high,success
,How I Built This: Platform Stories,Platform Economics,platform-economics,strategy-digital,high,success
,Stanford Statistical Learning MOOC (Hastie & Tibshirani),Statistical Learning,machine-learning,,high,success
,Susan Athey: Economics & AI,Causal Inference & ML,ai-labor,,high,success
,Benedict Evans Annual Tech Trends,Tech Strategy,strategy-digital,,high,success
,Arthur Charpentier Actuarial Tutorials,Insurance & Actuarial,machine-learning,,high,success
,Chris Miller on Chip War and Semiconductor Geopolitics,Defense Technology,tech-economics,,high,success
,Daron Acemoglu: New Tasks Framework,AI & Labor,ai-labor,,high,success
,MAD Seminar: Marketplace Algorithms & Design,Market Design & Auctions,market-design-auctions,platform-economics,high,success
,Lenny's Podcast: Ramesh Johari on Marketplace Lessons,Strategy & Digital Platforms,strategy-digital,platform-economics,high,success
,How I AI (Lenny's Podcast),AI & Labor,ai-labor,,high,success
,Parker & Van Alstyne: Platform Revolution Keynote,Platform Economics,platform-economics,strategy-digital,high,success
,Kevin Mercurio: Applied Causal Inference at Netflix (UChicago Guest Lecture),Causal Inference & ML,causal-inference,,high,success
,Hal Varian: Room for Discussion Interview,Tech Economics,tech-economics,,high,success
,DataFramed (DataCamp),Experimentation & Scaling,experimentation,,high,success
,Amazon's Secret Economists (CNN),Tech Economics,tech-economics,,high,success
,Karin Kimbrough: Skills as Global Workforce Currency,Labor Economics,ai-labor,,high,success
,"Patterns, Predictions, and Actions",Monographs,machine-learning,,high,success
,Skylar Olsen: Housing Market Insights (CSG West),Real Estate Economics,real-estate,,high,success
,Preston McAfee: Auction Design & applied analytics,Market Design & Auctions,market-design-auctions,,high,success
,Sourav Sinha: Causal Inference in Multi-Sided Marketplaces (UChicago Guest Lecture),Causal Inference & ML,causal-inference,platform-economics,high,success
,Practical AI,Causal Inference & ML,causal-inference,,high,success
,Hal Varian: Economics at Google,Ad Tech & Advertising Economics,market-design-auctions,marketing-martech,high,success
,NFX Podcast: Scott Cook on Network Effects,Strategy & Digital Platforms,strategy-digital,platform-economics,high,success
,Guido Imbens: Nobel Lecture 2021,Nobel Lectures,monographs-lectures,causal-inference,high,success
,Paul Joskow: Lessons from Electricity Restructuring,Energy & Utilities Economics,energy-economics,,high,success
,Resoundingly Human (INFORMS),Operations Research,operations-research,,high,success
,Kyle Kretschman: Economics as Storytelling (UT Austin),Tech Economics,tech-economics,,high,success
,Sangeet Choudary: Platform Thinking Talks,Platform Economics,platform-economics,strategy-digital,high,success
,Statsig,Experimentation & Scaling,experimentation,,high,success
,Kyle Kretschman: Spotify's Business & Marketplace Economics,Platform Economics,platform-economics,,high,success
,Hal Varian: Conversation at Council on Foreign Relations,Tech Economics,tech-economics,platform-economics,high,success
,Susan Athey: Stigler Center Keynote,Platform Economics,platform-economics,tech-economics,high,success
,Double ML (Chernozhukov),Monographs,causal-inference,,high,success
,Hal Varian: Conversations with Tyler,Market Design & Auctions,market-design-auctions,,high,success
,The Optimization Catalyst (Princeton Consultants),Operations Research,operations-research,,high,success
,Sub Club Podcast (RevenueCat),Growth & Retention,pricing-behavioral,marketing-martech,high,success
