id,name,category,primary,secondary,confidence,status
resource-scott-cunningham-causal-inference-substack,Scott Cunningham: Causal Inference Substack,Causal Inference,mixtape-resources,,high,success
resource-kaggles-intermediate-machine-learning,Kaggle's Intermediate Machine Learning,Gradient Boosting,ml-for-economists,,high,success
resource-dirk-bergemanns-yale-courses,Dirk Bergemann's Yale Courses,Machine Learning,auction-theory,,high,success
resource-ieee-spectrum-the-secret-of-airbnbs-pricing-algori,IEEE Spectrum: The Secret of Airbnb's Pricing Algorithm,Pricing & Revenue,pricing-revenue,,high,success
resource-dominik-krupke-cp-sat-primer,Dominik Krupke: CP-SAT Primer,Operations Research,linear-programming,,high,success
resource-change-point-detection-in-time-series,Change Point Detection in Time Series,Specialized Methods,classical-forecasting,,high,success
resource-mljar-feature-importance-with-xgboost,MLJAR: Feature Importance with XGBoost,Gradient Boosting,ml-for-economists,,high,success
resource-airbnb-learning-market-dynamics-for-optimal-pricin,Airbnb: Learning Market Dynamics for Optimal Pricing,Platform Economics,pricing-revenue,marketplace-design,high,success
resource-doordash-engineering,DoorDash Engineering,Routing & Logistics,vehicle-routing,pricing-revenue,high,success
resource-statistical-rethinking,Statistical Rethinking,Bayesian Methods,bayesian-methods,,high,success
resource-doordash-cupac-for-ml-enhanced-variance-reduction,DoorDash: CUPAC for ML-Enhanced Variance Reduction,Variance Reduction,variance-reduction,,high,success
resource-analytics-vidhya-hyperparameter-tuning-guide,Analytics Vidhya: Hyperparameter Tuning Guide,Gradient Boosting,ml-for-economists,,high,success
resource-econdl-deep-learning-for-economists,EconDL: Deep Learning for Economists,Machine Learning,ml-for-economists,,high,success
resource-linkedin-defending-against-abuse-at-scale,LinkedIn: Defending Against Abuse at Scale,Trust & Safety,fraud-detection,,high,success
resource-tim-roughgardens-cs269i-incentives-in-computer-sci,Tim Roughgarden's CS269I: Incentives in Computer Science,Market Design & Matching,marketplace-design,,high,success
resource-sheprd-r-packages-for-health-economic-decision-sci,SHEPRD - R Packages for Health Economic Decision Science,Healthcare Economics & Health-Tech,healthcare-econ,,high,success
resource-eth-zurich-agent-based-modeling-of-economic-system,ETH Zurich: Agent-Based Modeling of Economic Systems,Computational Economics,agent-based-modeling,,high,success
resource-pymc-labs-blog,PyMC Labs Blog,Bayesian Methods,bayesian-methods,,high,success
resource-airbnb-aerosolve-ml-for-humans,Airbnb: Aerosolve - ML for Humans,Pricing & Revenue,pricing-revenue,,high,success
resource-netflix-rad-outlier-detection,Netflix: RAD Outlier Detection,Trust & Safety,fraud-detection,,high,success
resource-gibson-biddle-dhm-product-strategy-framework,Gibson Biddle: DHM Product Strategy Framework,Frameworks & Strategy,product-metrics,,high,success
resource-pymc-marketing-documentation,PyMC-Marketing Documentation,Bayesian Methods,bayesian-methods,clv-retention,high,success
resource-full-stack-economics-timothy-lee,Full Stack Economics (Timothy Lee),Tech Strategy,tech-strategy,,high,success
resource-marty-cagan-inspired,Marty Cagan: INSPIRED,Frameworks & Strategy,product-metrics,,high,success
resource-sports-performance-analytics-specialization,Sports Performance Analytics Specialization,Sports Analytics,sports-analytics,,high,success
resource-swiss-association-of-actuaries-tutorials,Swiss Association of Actuaries Tutorials,Insurance & Actuarial,insurance-actuarial,,high,success
resource-google-research-self-supervised-anomaly-detection,Google Research: Self-Supervised Anomaly Detection,Trust & Safety,fraud-detection,,high,success
resource-mark-whites-practical-causal-forest-tutorial,Mark White's Practical Causal Forest Tutorial,Causal Inference,causal-forests,,high,success
resource-causal-inference-the-mixtape,Causal Inference: The Mixtape,Causal Inference,mixtape-resources,,high,success
resource-pedro-santannas-did-resources,Pedro Sant'Anna's DiD Resources,Difference-in-Differences,did-synth-control,,high,success
resource-coding-for-economists-arthur-turrell,Coding for Economists (Arthur Turrell),Causal Inference,ml-for-economists,,high,success
resource-mit-ocw-principles-of-microeconomics-healthcare-un,MIT OCW: Principles of Microeconomics (Healthcare Unit),Healthcare Economics & Health-Tech,healthcare-econ,,high,success
resource-tallys-yunes-or-by-the-beach,Tallys Yunes: OR by the Beach,Operations Research,linear-programming,convex-optimization,high,success
resource-stanford-fintech-lab-rob-wang-block,Stanford FinTech Lab: Rob Wang (Block),Trust & Safety,fraud-detection,,high,success
resource-sequoia-data-informed-product-building,Sequoia: Data-Informed Product Building,Metrics & Measurement,product-metrics,,high,success
resource-evan-miller-how-not-to-run-an-ab-test,Evan Miller: How Not To Run an A/B Test,A/B Testing,ab-testing-foundations,,high,success
resource-021-newsletter-marketing-data-teams-bridge,021 Newsletter: Marketing & Data Teams Bridge,Frameworks & Strategy,mmm-attribution,geo-experiments,high,success
resource-money-stuff-matt-levine,Money Stuff (Matt Levine),Tech Strategy,tech-strategy,,high,success
resource-intercom-rice-prioritization-framework,Intercom: RICE Prioritization Framework,Frameworks & Strategy,product-metrics,,high,success
resource-auctions-in-ad-tech-sanjiv-das,Auctions in Ad Tech (Sanjiv Das),Ads & Attribution,auction-theory,,high,success
resource-brady-neals-introduction-to-causal-inference,Brady Neal's Introduction to Causal Inference,Machine Learning,dags-causal-graphs,ml-for-economists,high,success
resource-hbr-ideacast-how-to-build-dynamic-pricing-that-wor,HBR IdeaCast: How to Build Dynamic Pricing That Works,Pricing & Revenue,pricing-revenue,,high,success
resource-georgia-tech-ratliff-10-rules-for-supply-chain-opt,Georgia Tech (Ratliff): 10 Rules for Supply Chain Optimization,Routing & Logistics,vehicle-routing,,high,success
resource-stanford-ml-causal-inference-short-course,Stanford ML & Causal Inference Short Course,Machine Learning,ml-for-economists,causal-forests,high,success
resource-doordash-ml-+-optimization-for-dispatch,DoorDash: ML + Optimization for Dispatch,Routing & Logistics,vehicle-routing,,high,success
resource-stripe-engineering,Stripe Engineering,Trust & Safety,fraud-detection,,high,success
resource-matt-levine-the-crypto-story-businessweek,Matt Levine: The Crypto Story (Businessweek),Tech Strategy,tech-strategy,,high,success
resource-ebay-tech-blog,eBay Tech Blog,Platform Economics,tech-company-blogs,,high,success
resource-matteo-courthouds-experimentation-series,Matteo Courthoud's Experimentation Series,A/B Testing,variance-reduction,ab-testing-foundations,high,success
resource-amazon-science-operations-research-and-optimizatio,Amazon Science: Operations Research and Optimization,Routing & Logistics,vehicle-routing,,high,success
resource-fraud-detection-handbook-ulb,Fraud Detection Handbook (ULB),Trust & Safety,fraud-detection,,high,success
resource-awesome-quant,Awesome Quant,Quantitative Finance,quant-finance,,high,success
resource-kevin-gue-warehouse-design,Kevin Gue: Warehouse Design,Operations Research,vehicle-routing,,high,success
resource-airbnb-using-ml-to-predict-value-of-homes,Airbnb: Using ML to Predict Value of Homes,Pricing & Revenue,pricing-revenue,,high,success
resource-google-research-market-algorithms-team,Google Research: Market Algorithms Team,Auction Theory,auction-theory,,high,success
resource-google-or-tools-vrp-+-vrptw-tutorial,Google OR-Tools: VRP + VRPTW Tutorial,Linear Programming,linear-programming,vehicle-routing,high,success
resource-spotify-choosing-a-sequential-testing-framework,Spotify: Choosing a Sequential Testing Framework,Sequential Testing,sequential-bandits,,high,success
resource-evan-miller-formulas-for-bayesian-ab-testing,Evan Miller: Formulas for Bayesian A/B Testing,A/B Testing,ab-testing-foundations,bayesian-methods,high,success
resource-how-to-measure-cohort-retention-lennys-newsletter,How to Measure Cohort Retention (Lenny's Newsletter),Bayesian Methods,clv-retention,,high,success
resource-matteo-courthouds-synthetic-control-tutorial,Matteo Courthoud's Synthetic Control Tutorial,Synthetic Control,did-synth-control,,high,success
resource-real-python-linear-programming-with-python,Real Python: Linear Programming with Python,Linear Programming,linear-programming,,high,success
resource-linkedin-the-economic-graph,LinkedIn: The Economic Graph,Platform Economics,network-effects,marketplace-design,high,success
resource-alberto-abadies-nber-methods-lecture,Alberto Abadie's NBER Methods Lecture,Synthetic Control,did-synth-control,,high,success
resource-linkedin-ai-behind-recruiter-search,LinkedIn: AI Behind Recruiter Search,Search & Ranking,search-ranking,,high,success
resource-paypal-graph-database-for-fraud,PayPal: Graph Database for Fraud,Trust & Safety,fraud-detection,,high,success
resource-svpg-product-management-start-here,SVPG: Product Management Start Here,Frameworks & Strategy,product-metrics,,high,success
resource-python-data-science-handbook,Python Data Science Handbook,Programming,python-economists,,high,success
resource-evan-millers-ab-testing-tools,Evan Miller's A/B Testing Tools,A/B Testing,ab-testing-foundations,,high,success
resource-linkedin-engineering,LinkedIn Engineering,Search & Ranking,search-ranking,,high,success
resource-semianalysis-dylan-patel,SemiAnalysis (Dylan Patel),Tech Strategy,tech-strategy,,high,success
resource-lyft-engineering,Lyft Engineering,Marketplace Economics,marketplace-design,transportation-econ,high,success
resource-dario-sansones-ml-resources-for-economists,Dario Sansone's ML Resources for Economists,Machine Learning,ml-for-economists,,high,success
resource-deep-learning-for-single-cell-analysis-scverse-tut,Deep Learning for Single-Cell Analysis (scverse tutorials),Machine Learning,ml-for-economists,,high,success
resource-feasible-newsletter,Feasible Newsletter,Operations Research,vehicle-routing,,high,success
resource-stripe-ml-for-fraud-protection,Stripe: ML for Fraud Protection,Trust & Safety,fraud-detection,,high,success
resource-netflix-tech-blog,Netflix Tech Blog,Search & Ranking,recsys,search-ranking,high,success
resource-mkt1-b2b-marketing-frameworks,MKT1: B2B Marketing Frameworks,Frameworks & Strategy,tech-strategy,,high,success
resource-conformal-prediction-tutorial-angelopoulos-bates,Conformal Prediction Tutorial (Angelopoulos & Bates),Machine Learning,ml-for-economists,,high,success
resource-netflix-tech-blog-what-is-an-ab-test,Netflix Tech Blog: What is an A/B Test?,A/B Testing,ab-testing-foundations,,high,success
resource-recast-blog-mmm-verification,Recast Blog: MMM Verification,Marketing Science,mmm-attribution,,high,success
resource-google-machine-learning-crash-course,Google Machine Learning Crash Course,Machine Learning,ml-for-economists,,high,success
resource-neural-survival-analysis-with-pycox,Neural Survival Analysis with pycox,Machine Learning,ml-for-economists,,high,success
resource-uber-backtesting-at-scale,Uber: Backtesting at Scale,Production Systems,tech-company-blogs,,high,success
resource-doordash-4-principles-to-boost-experimentation-by-,DoorDash: 4 Principles to Boost Experimentation by 1000%,AB Testing,ab-testing-foundations,switchback-interference,high,success
resource-nextmv-blog,Nextmv Blog,Routing & Logistics,vehicle-routing,,high,success
resource-an-introduction-to-statistical-learning-of-extreme,An Introduction to Statistical Learning of Extreme Values (Coles),Statistics,insurance-actuarial,,high,success
resource-airbnb-learning-market-dynamics-for-optimal-pricin,Airbnb: Learning Market Dynamics for Optimal Pricing,Platform Economics,pricing-revenue,marketplace-design,high,success
resource-doordash-building-a-successful-three-sided-marketp,DoorDash: Building a Successful Three-Sided Marketplace,Platform Economics,marketplace-design,network-effects,high,success
resource-awesome-economics,Awesome Economics,Econometrics,ml-for-economists,,high,success
resource-uber-making-experiment-evaluation-engine-100x-fast,Uber: Making Experiment Evaluation Engine 100x Faster,A/B Testing,ab-testing-foundations,,high,success
resource-practical-introduction-to-switchback-experiments,Practical Introduction to Switchback Experiments,AB Testing,switchback-interference,ab-testing-foundations,high,success
resource-mario-filho-forecastegy,Mario Filho: Forecastegy,Marketing Science,mmm-attribution,,high,success
resource-microsoft-research-end-to-end-causal-inference-at-,Microsoft Research: End-to-End Causal Inference at Scale Demo,Causal Inference,causal-libraries,,high,success
resource-nathan-brixius-ml-+-optimization,Nathan Brixius: ML + Optimization,Operations Research,linear-programming,convex-optimization,high,success
resource-iab-and-iab-tech-lab,IAB and IAB Tech Lab,Operations Research,auction-theory,,high,success
resource-anomaly-detection-in-time-series,Anomaly Detection in Time Series,Specialized Methods,fraud-detection,,high,success
resource-beyond-jupyter,Beyond Jupyter,Programming,ml-for-economists,,high,success
resource-meta-few-shot-learner-for-harmful-content,Meta: Few-Shot Learner for Harmful Content,Case Studies,fraud-detection,,high,success
resource-alain-chabrier-column-generation-with-cplex,Alain Chabrier: Column Generation with CPLEX,Operations Research,linear-programming,vehicle-routing,high,success
resource-fiverr-engineering-blog,Fiverr Engineering Blog,Platform Economics,marketplace-design,network-effects,high,success
resource-andrew-heiss-synthetic-data-for-program-evaluation,Andrew Heiss: Synthetic Data for Program Evaluation,Causal Inference,did-synth-control,rdd-iv,high,success
resource-quantecon-ml-in-economics,QuantEcon: ML in Economics,Machine Learning,ml-for-economists,,high,success
resource-meta-engineering-data-science,Meta Engineering - Data Science,Case Studies,tech-company-blogs,,high,success
resource-bruce-hardies-clv-papers,Bruce Hardie's CLV Papers,Growth & Retention,clv-retention,,high,success
resource-instacart-predicting-availability-of-200m-grocery-,Instacart: Predicting Availability of 200M Grocery Items,Case Studies,ml-for-economists,,high,success
resource-doordash-causal-modeling-to-get-value-from-flat-ex,DoorDash: Causal Modeling to Get Value from Flat Experiment Results,Causal Inference,causal-forests,,high,success
resource-not-boring-packy-mccormick,Not Boring (Packy McCormick),Tech Strategy,tech-strategy,,high,success
resource-ron-berman-p-hacking-in-ab-testing,Ron Berman: p-Hacking in A/B Testing,Marketing Science,ab-testing-foundations,,high,success
resource-hagiu-multi-sided-platforms-from-microfoundations-,Hagiu: Multi-Sided Platforms - From Microfoundations to Design,Platform Economics,network-effects,marketplace-design,high,success
resource-inside-data-mikkel-dengsøe,Inside Data (Mikkel Dengsøe),Applied Economics,econ-blogs,,high,success
resource-lennys-newsletter-how-duolingo-reignited-user-grow,Lenny's Newsletter: How Duolingo Reignited User Growth,Growth & Retention,clv-retention,,high,success
resource-hal-varian-machine-learning-and-econometrics-berke,Hal Varian: Machine Learning and Econometrics (Berkeley),Causal Inference,ml-for-economists,,high,success
resource-vrpsolver-column-generation-for-vehicle-routing,VRPSolver: Column Generation for Vehicle Routing,Routing & Logistics,vehicle-routing,,high,success
resource-mike-taylor-vexpower-mmm-tutorials,Mike Taylor: Vexpower MMM Tutorials,Marketing Science,mmm-attribution,,high,success
resource-applied-causal-inference-powered-by-ml-and-ai,Applied Causal Inference Powered by ML and AI,Causal Inference,mixtape-resources,causal-forests,high,success
resource-the-missing-semester-of-your-cs-education-mit,The Missing Semester of Your CS Education (MIT),Programming,none,,high,success
resource-display-advertising-with-real-time-bidding,Display Advertising with Real-Time Bidding,Ads & Attribution,auction-theory,,high,success
resource-ken-norton-how-to-hire-a-product-manager,Ken Norton: How to Hire a Product Manager,Frameworks & Strategy,product-metrics,,high,success
resource-ben-elsner-causal-inference-policy-evaluation,Ben Elsner: Causal Inference & Policy Evaluation,Causal Inference,mixtape-resources,,high,success
resource-growth-accounting-backtraced-growth-accounting,Growth Accounting & Backtraced Growth Accounting,Growth & Retention,clv-retention,,high,success
resource-sdv-getting-started-guide,SDV Getting Started Guide,Machine Learning,ml-for-economists,,high,success
resource-meta-ads-fairness-variance-reduction-system,Meta: Ads Fairness Variance Reduction System,Advertising & Attention,auction-theory,,high,success
resource-data-analysis-journal-olga-berezovsky,Data Analysis Journal (Olga Berezovsky),A/B Testing,ab-testing-foundations,,high,success
resource-fastai-practical-deep-learning-for-coders,Fast.ai Practical Deep Learning for Coders,Deep Learning,recsys,,high,success
resource-netflix-computational-causal-inference,Netflix: Computational Causal Inference,Causal Inference,causal-libraries,,high,success
resource-bill-gurley-how-to-miss-by-a-mile-uber-tam,Bill Gurley: How to Miss By a Mile (Uber TAM),Platform Economics,marketplace-design,tech-strategy,high,success
resource-shreyas-doshi-lno-framework,Shreyas Doshi: LNO Framework,Frameworks & Strategy,tech-strategy,,high,success
resource-gsp-auction-paper-edelman-et-al-aer-2007,"GSP Auction Paper (Edelman et al., AER 2007)",Ads & Attribution,auction-theory,,high,success
resource-beyond-jupyter-transferlab,Beyond Jupyter (TransferLab),Programming,ml-for-economists,,high,success
resource-foundations-of-transportation-network-analysis-edx,Foundations of Transportation Network Analysis (edX),Transportation Economics & Technology,transportation-econ,,high,success
resource-spotify-confidence,Spotify Confidence,A/B Testing,ab-testing-foundations,,high,success
resource-fangraphs-sabermetrics-library,FanGraphs Sabermetrics Library,Sports Analytics,sports-analytics,,high,success
resource-coursera-pricing-strategy-optimization-uvabcg,Coursera Pricing Strategy Optimization (UVA/BCG),Pricing & Revenue,pricing-revenue,,high,success
resource-netflix-sequential-ab-testing-keeps-the-world-stre,Netflix: Sequential A/B Testing Keeps the World Streaming,Sequential Testing,sequential-bandits,,high,success
resource-quantecon-discrete-state-dynamic-programming,QuantEcon: Discrete State Dynamic Programming,Computational Economics,python-economists,,high,success
resource-the-missing-semester-mit,The Missing Semester (MIT),Programming,python-economists,,high,success
resource-netflix-sequential-ab-testing-keeps-the-world-stre,Netflix: Sequential A/B Testing Keeps the World Streaming,A/B Testing,ab-testing-foundations,sequential-bandits,high,success
resource-ryan-oneil-real-time-optimization,Ryan O'Neil: Real-Time Optimization,Operations Research,linear-programming,vehicle-routing,high,success
resource-exp-platform-microsoft-experimentation-resources,ExP Platform: Microsoft Experimentation Resources,A/B Testing,ab-testing-foundations,variance-reduction,high,success
resource-chargebee-saas-pricing-models-guide,Chargebee: SaaS Pricing Models Guide,Pricing & Revenue,pricing-revenue,,high,success
resource-eppo-bandit-vs-experiment-testing-decision-guide,Eppo: Bandit vs. Experiment Testing Decision Guide,Bandits & Adaptive,sequential-bandits,,high,success
resource-branch-resources-privacy-centric-measurement,Branch Resources: Privacy-Centric Measurement,Ads & Attribution,ad-attribution,,high,success
resource-seeing-theory-brown,Seeing Theory (Brown),Bayesian Methods,bayesian-methods,,high,success
resource-stanford-stats-361-causal-inference-lecture-notes-,Stanford STATS 361: Causal Inference Lecture Notes (Wager),Causal Inference,causal-forests,,high,success
resource-stanford-gsb-machine-learning-causal-inference-sho,Stanford GSB: Machine Learning & Causal Inference Short Course,Machine Learning,causal-forests,,high,success
resource-mobile-dev-memo-post-att-marketing-measurement,Mobile Dev Memo: Post-ATT Marketing Measurement,Ads & Attribution,ad-attribution,,high,success
resource-how-superhuman-built-an-engine-to-find-pmf-first-r,How Superhuman Built an Engine to Find PMF (First Round),Bayesian Methods,product-metrics,,high,success
resource-marketing-bs-strategic-marketing-newsletter,Marketing BS: Strategic Marketing Newsletter,Frameworks & Strategy,tech-strategy,,high,success
resource-shubhanshu-mishra-awesome-causality,Shubhanshu Mishra: Awesome Causality,Causal Inference,mixtape-resources,,high,success
resource-monetizing-innovation-ramanujam,Monetizing Innovation (Ramanujam),Pricing & Revenue,pricing-revenue,,high,success
resource-google-ai-blog,Google AI Blog,LLMs & Agents,llms-rag,,high,success
resource-time-series-handbook-lightgbm-for-m5,Time Series Handbook: LightGBM for M5,Machine Learning,forecasting-dl,,high,success
resource-meta-instagram-notification-management-with-ml-and,Meta: Instagram Notification Management with ML and Causal Inference,Causal Inference,ml-for-economists,,high,success
resource-lyft-simulating-a-ridesharing-marketplace,Lyft: Simulating a Ridesharing Marketplace,Platform Economics,transportation-econ,marketplace-design,high,success
resource-doordash-using-back-door-adjustment-for-pre-post-a,DoorDash: Using Back-Door Adjustment for Pre-Post Analysis,Causal Inference,dags-causal-graphs,,high,success
resource-stephen-maher-optimisation-in-the-real-world,Stephen Maher: Optimisation in the Real World,Operations Research,energy-economics,vehicle-routing,high,success
resource-bookingcom-increasing-power-with-cuped,Booking.com: Increasing Power with CUPED,Variance Reduction,variance-reduction,,high,success
resource-stanford-ee364a-youtube,Stanford EE364A (YouTube),Convex Optimization,convex-optimization,,high,success
resource-anton-korinek-research,Anton Korinek Research,Machine Learning,ml-for-economists,,high,success
resource-austin-buchanan-farkas-dilemma,Austin Buchanan: Farkas' Dilemma,Operations Research,linear-programming,none,high,success
resource-netflix-its-all-about-testing-the-experimentation-,Netflix: It's All A/Bout Testing - The Experimentation Platform,A/B Testing,ab-testing-foundations,,high,success
resource-scipystats-documentation,Scipy.stats Documentation,Bayesian Methods,bayesian-methods,,high,success
resource-energy-institute-at-haas-blog,Energy Institute at Haas Blog,Energy & Utilities Economics,energy-economics,,high,success
resource-netflix-quasi-experimentation-at-netflix,Netflix: Quasi Experimentation at Netflix,Causal Inference,did-synth-control,,high,success
resource-airbnb-ace-artificial-counterfactual-estimation,Airbnb: ACE - Artificial Counterfactual Estimation,Causal Inference,ml-for-economists,,high,success
resource-modelling-extremal-events-embrechts-klüppelberg-mi,"Modelling Extremal Events (Embrechts, Klüppelberg, Mikosch)",Statistics,insurance-actuarial,quant-finance,high,success
resource-dean-eckles-blog-on-network-experiments-and-social,Dean Eckles: Blog on Network Experiments and Social Influence,Causal Inference,network-effects,,high,success
resource-uber-reinforcement-learning-for-marketplace-balanc,Uber: Reinforcement Learning for Marketplace Balance,Platform Economics,marketplace-design,transportation-econ,high,success
resource-ritvikmath-time-series-youtube-+-github,ritvikmath Time Series YouTube + GitHub,Classical Methods,classical-forecasting,,high,success
resource-energy-institute-at-haas-blog,Energy Institute at Haas Blog,Frameworks & Strategy,energy-economics,,high,success
resource-linkedin-building-inclusive-products-through-ab-te,LinkedIn: Building Inclusive Products Through A/B Testing,A/B Testing,ab-testing-foundations,,high,success
resource-lyft-experimentation-in-a-ridesharing-marketplace,Lyft: Experimentation in a Ridesharing Marketplace,Interference & Switchback,switchback-interference,transportation-econ,high,success
resource-visualgo,VisuAlgo,Programming,dsa-interviews,,high,success
resource-apricitas-economics-joseph-politano,Apricitas Economics (Joseph Politano),Applied Economics,econ-blogs,,high,success
resource-neptuneai-when-to-choose-catboost-over-xgboost,Neptune.ai: When to Choose CatBoost Over XGBoost,Gradient Boosting,ml-for-economists,,high,success
resource-awesome-causal-inference-matteo-courthoud,Awesome Causal Inference (Matteo Courthoud),Causal Inference,mixtape-resources,,high,success
resource-lukas-vermeer-building-experimentation-infrastruct,Lukas Vermeer: Building Experimentation Infrastructure,A/B Testing,ab-testing-foundations,,high,success
resource-defense-acquisition-university-dau,Defense Acquisition University (DAU),Machine Learning,ml-for-economists,,high,success
resource-nsplib-nurse-scheduling-benchmarks-ghent-universit,NSPLib: Nurse Scheduling Benchmarks (Ghent University),Operations Research,linear-programming,,high,success
resource-ronny-kohavi-trustworthy-online-controlled-experim,Ronny Kohavi: Trustworthy Online Controlled Experiments,A/B Testing,ab-testing-foundations,,high,success
resource-blocked-time-series-cross-validation,Blocked Time Series Cross Validation,Machine Learning,forecasting-dl,,high,success
resource-mit-15053-optimization-methods-in-management-scien,MIT 15.053: Optimization Methods in Management Science,Convex Optimization,convex-optimization,,high,success
resource-coursera-the-economics-of-health-care-delivery,Coursera: The Economics of Health Care Delivery,Healthcare Economics & Health-Tech,healthcare-econ,,high,success
resource-aswath-damodaran-blog-valuation,Aswath Damodaran Blog: Valuation,Tech Strategy,tech-strategy,,high,success
resource-econ-ark-demark-examples,Econ-ARK DemARK Examples,Computational Economics,agent-based-modeling,,high,success
resource-quantecon-linear-programming-introduction,QuantEcon: Linear Programming Introduction,Linear Programming,linear-programming,,high,success
resource-hagiu-wright-when-to-open-a-platform-hbr,Hagiu & Wright: When to Open a Platform (HBR),Platform Economics,network-effects,marketplace-design,high,success
resource-machine-learning-specialization-coursera,Machine Learning Specialization (Coursera),Machine Learning,ml-for-economists,,high,success
resource-the-diff-byrne-hobart,The Diff (Byrne Hobart),Tech Strategy,tech-strategy,,high,success
resource-simon-rothman-a16z-how-to-build-a-marketplace,Simon Rothman (a16z): How to Build a Marketplace,Platform Economics,marketplace-design,,high,success
resource-juan-orduz-bayesian-marketing-methods,Juan Orduz: Bayesian Marketing Methods,Marketing Science,mmm-attribution,clv-retention,high,success
resource-agent-based-models-with-python-an-introduction-to-,Agent-Based Models with Python: An Introduction to Mesa,Computational Economics,agent-based-modeling,,high,success
resource-quantecon-python-lectures,QuantEcon Python Lectures,Computational Economics,agent-based-modeling,,high,success
resource-thealgorithmspython,TheAlgorithms/Python,Programming,dsa-interviews,,high,success
resource-lennys-podcast-madhavan-ramanujam,Lenny's Podcast: Madhavan Ramanujam,Pricing & Revenue,pricing-revenue,,high,success
resource-adam-kelleher-causality-python-package,Adam Kelleher: Causality Python Package,Causal Inference,causal-libraries,,high,success
resource-netflix-heterogeneous-treatment-effects,Netflix: Heterogeneous Treatment Effects,Causal Inference,causal-forests,,high,success
resource-matteo-courthouds-did-tutorial,Matteo Courthoud's DiD Tutorial,Difference-in-Differences,did-synth-control,,high,success
resource-spotify-risk-aware-product-decisions-in-ab-tests,Spotify: Risk-Aware Product Decisions in A/B Tests,A/B Testing,ab-testing-foundations,,high,success
resource-lyft-causal-forecasting-at-lyft,Lyft: Causal Forecasting at Lyft,Causal Inference,dags-causal-graphs,,high,success
resource-mit-ocw-energy-decisions-markets-and-policies,"MIT OCW: Energy Decisions, Markets, and Policies",Machine Learning,energy-economics,,high,success
resource-class-central-transportation-courses,Class Central: Transportation Courses,Transportation Economics & Technology,transportation-econ,,high,success
resource-statquest-with-josh-starmer,StatQuest with Josh Starmer,Bayesian Methods,bayesian-methods,,high,success
resource-temporal-fusion-transformer-complete-tutorial,Temporal Fusion Transformer: Complete Tutorial,Deep Learning,forecasting-dl,,high,success
resource-capitalisnt-sendhil-mullainathan-on-who-controls-a,Capitalisn't: Sendhil Mullainathan on Who Controls AI,Causal Inference,ml-for-economists,,high,success
resource-economic-forces-albrecht-hendrickson,Economic Forces (Albrecht & Hendrickson),Applied Economics,econ-blogs,,high,success
resource-jonathan-roths-did-resources,Jonathan Roth's DiD Resources,Difference-in-Differences,did-synth-control,,high,success
resource-music-tomorrow-spotify-deep-dive,Music Tomorrow: Spotify Deep Dive,Case Studies,recsys,,high,success
resource-erlang-c-calculator,Erlang C Calculator,Operations Research,queueing-theory,,high,success
resource-matteo-courthouds-rdd-tutorial,Matteo Courthoud's RDD Tutorial,IV & RDD,rdd-iv,,high,success
resource-adkdd-workshop-papers,AdKDD Workshop Papers,Ads & Attribution,ad-attribution,,high,success
resource-matteo-courthouds-blp-demand-estimation,Matteo Courthoud's BLP Demand Estimation,Computational Economics,python-economists,agent-based-modeling,high,success
